0	841768204527669248	krygerj23	4
1	841752193933946885	gnwoodcrafters	3
2	765066536	beyer_ryan	387
3	500050305	kenziiewiilson	605
4	841694932607860736	alex_tion	239
5	841694498036027392	TopSockCo	1086
6	4562831296	KeekerRat	55
7	561637385	lizriv19	468
8	765771284919844864	swind_Advisory	107
9	807206366104420352	BurtonElGRPS	26
10	840949552739938304	a_brumley10	125
11	841462984346107904	ladydijacobs	0
12	153133928	lauertl	20
13	841430231432994820	kayla_kidder	23
14	37320167	rickyrrrr22	112
15	841407212740308992	gvjrpanhel	60
16	291711967	KevinAndriot	38
17	841368340958453760	katregoo	77
18	2874355977	lonniebravo_	579
19	101911732	symplicitycorp	1921
20	2644610650	bradrush21	23
21	803988403020763136	TerryBu51268003	36
22	2922042367	_kkkristennn_	165
23	1490335669	MrsBarrettwmaes	21
24	612248455	TrentonEckerle	93
25	2273104804	laurennschultzz	1032
26	862040456	BigMase723	274
27	840732831605219328	brennanhayes7	14
28	840928715831939072	Zara19910	0
29	1007321046	oneworldce	2080
30	1929098383	Jack_Strong2	501
31	238715425	erindkuester	373
32	836034876084211712	Listingsforu	377
33	4410497721	ilistit4u	24
34	1126655042	Mussy430	199
35	840607403888562179	MandieRose5	8
36	1215763280	roxyjo1	17
37	854235847	TBands_50k	2105
38	716051603132780544	KidsEquality	1523
39	840446469500997632	cierraawolfe	23
40	840443125445328896	KarinGoebel	0
41	2535809256	laurenmoinee	530
42	840422924708397056	SohpiaAnn92	2
43	57928099	BarnesChic	197
44	911504359	joseph_fibranz	9
45	133618597	ms_kate91	728
46	2760703816	alexisnelson011	282
47	840329494762278912	reagyweagy	233
48	840322484629061633	JoeFinn1038	6
49	840003792842170368	gvsufreefood	132
50	2206090279	robbie_hermes	572
51	840246525448073217	MichelleHolste4	16
52	4756497928	angie_ritchey	15
53	987502021	brianna_clark7	689
54	21602232	kruppmd	11
55	839578300573970440	JamesonPGuinnes	8
56	478328416	ryannnemichelle	583
57	840008087171928065	KaylaVan8	2
58	835156519624716288	shafer_hailey	0
59	702237908	RileyAmaro	530
60	256043405	sidneydeems	200
61	822536262485688320	Antoinette_DeM7	12
62	175549822	SALESCOACH1064	43481
63	467044083	mmb99999	31
64	342316141	ss_varner	668
65	2892382087	tommy_w_15_	293
66	839573192851222534	AlpenRestaurant	20
67	622118372	stanis9205	71
68	839622198797152257	littlefoot494	5
69	839511772625256450	samyers1999	50
70	447385900	alexiahipsher	389
71	837360892396384256	deviatebranding	72
72	2759357981	ChazKamaloski2	72
73	3145366353	KathyPetoskey	7
74	2246596712	HolderDrew	839
75	839303274801025024	JohnstonMorg	75
76	4591961652	ChuckHoskin_Jr	409
77	839132536131489792	TaTaDalishiz	58
78	1320263035	DemorrowJen	12
79	2422834814	ZTuuk	194
80	2617556953	RadiahPullum	94
81	838880344958988288	ChipFounder	3
82	838876356834381824	______Gone_	89
83	15949408	jograham	850
84	777932850490400768	JillWeiand	36
85	838730367356006400	KCDesignServic3	58
86	838690400823087105	BladeIcewood1	104
87	987811322	daree0809	10
88	838592508569522176	joshholden07	24
89	91228632	Liboman1	5
90	838542667382423554	paigelovecatss	3
91	1516507501	vikefan52	24
92	4423614379	tallblonderose	10
93	1434362983	Alex_Nuttall9	366
94	22506975	Michigoo	32
95	838453616340058114	AndrewMulder7	28
96	2429531523	tay_forddd	175
97	28830667	TheJPelham	198
98	2887977826	lindy_michelle	94
99	779094372981825536	MissE111Rockets	35
100	838211131474866176	GHHSProductions	1
101	717177427	maggie_reid17	538
102	838113739111075840	Dynammiic	9
103	636617041	ElaynaSt	250
104	838070528028127232	missbethsclass	13
105	1135259930	cole_winston27	88
107	837750355215679488	ASagolla	3
108	1118000275	kenzi_parker	317
109	838007199335133185	GearsnBeersRide	8
110	2360017921	jfarchone17	250
111	259093535	beca613	202
